project,old,new,refs,bucket,kind
calibration,MAFileUtils_h,AQLFileUtils_h,2,A_convention,macro
calibration,MAMasterRegistManager_h,AQLMasterRegistManager_h,2,A_convention,macro
calibration,MAPtbergUtils_h,AQLPtbergUtils_h,2,A_convention,macro
calibration,MAUSSocketRequestPool,AQLUSSocketRequestPool,2,B_acronym,class
calibration,MAValuePrinter_h,AQLValuePrinter_h,2,A_convention,macro
calibration,LACoreGridConfiguation,AQLCoreGridConfiguation,1,A_convention,file
calibration,LADefinitionsFXStrangleSolver,AQLDefinitionsFXStrangleSolver,1,A_convention,file
calibration,LADefinitionsHazardRate,AQLDefinitionsHazardRate,1,A_convention,file
calibration,LAFileUtils,AQLFileUtils,1,A_convention,file
calibration,LAValuePrinter,AQLValuePrinter,1,A_convention,file
calibration,LACoreGridExceptions,AQLCoreGridExceptions,0,A_convention,file
math,MDFile,AQLFile,37,A_convention,class
math,MDObjHolder,AQLObjHolder,30,A_convention,class
math,MDBase,AQLBase,20,A_convention,class
math,MMInnerFunction,AQLInnerFunction,19,A_convention,class
math,MDCSVFileLoader,AQLCSVFileLoader,10,B_acronym,class
math,MFFlowDate,AQLFlowDate,6,A_convention,class
math,MDBASE,AQLBASE,2,B_acronym,macro
math,MDBase_h,AQLBase_h,2,A_convention,macro
math,MDCSVFILELOADER,AQLCSVFILELOADER,2,B_acronym,macro
math,MDCSVFileLoader_h,AQLCSVFileLoader_h,2,B_acronym,macro
math,MDFile_h,AQLFile_h,2,A_convention,macro
math,MFDefine_h,AQLDefine_h,2,A_convention,macro
math,MMGAUSSLOBATTOINTEGRAL_H,AQLGAUSSLOBATTOINTEGRAL_H,2,B_acronym,macro
